epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
157,9303.73,0.96675,0.83481,0.00307,0.8494,0.73804,0.81664,0.67528,0.78279,0.70496,0.00376,0.000808828,0.000808828,0.000808828
158,9358.75,0.98928,0.85101,0.00318,0.85687,0.73667,0.8187,0.67933,0.77487,0.70343,0.00363,0.000803327,0.000803327,0.000803327
159,9412.09,0.98256,0.84571,0.00321,0.86291,0.73177,0.82246,0.68465,0.76047,0.69319,0.00361,0.000797826,0.000797826,0.000797826
160,9467.42,1.0053,0.84409,0.00307,0.85678,0.73565,0.81945,0.67811,0.77468,0.70969,0.00364,0.000792325,0.000792325,0.000792325
161,9523.24,0.98486,0.85783,0.0033,0.86407,0.72442,0.81859,0.68306,0.76725,0.71933,0.00367,0.000786824,0.000786824,0.000786824
162,9578.47,0.98479,0.83906,0.00315,0.86254,0.73391,0.82301,0.68206,0.76606,0.71638,0.00366,0.000781323,0.000781323,0.000781323
163,9632.65,1.00789,0.84388,0.00313,0.8562,0.72442,0.81689,0.68048,0.77367,0.7322,0.00365,0.000775822,0.000775822,0.000775822
164,9688.94,1.02055,0.86145,0.00322,0.85739,0.7303,0.8191,0.67795,0.76084,0.7233,0.00354,0.000770321,0.000770321,0.000770321
165,9744.43,1.00572,0.86882,0.00323,0.83562,0.75125,0.81868,0.67753,0.76415,0.70989,0.00353,0.00076482,0.00076482,0.00076482
166,9799.65,1.00725,0.83832,0.00309,0.85136,0.73582,0.81188,0.66644,0.79998,0.7087,0.00383,0.000759318,0.000759318,0.000759318
167,9853.8,0.96115,0.83417,0.00307,0.84784,0.73281,0.81008,0.67015,0.76566,0.71562,0.00354,0.000753817,0.000753817,0.000753817
168,9907.58,1.00261,0.853,0.00311,0.8378,0.7383,0.81309,0.67356,0.76386,0.7065,0.00358,0.000748316,0.000748316,0.000748316
169,9963.18,0.99444,0.84158,0.00304,0.86119,0.72481,0.81319,0.67052,0.77132,0.72756,0.00362,0.000742815,0.000742815,0.000742815
170,10023.2,1.00336,0.84757,0.00317,0.86046,0.7323,0.81638,0.67669,0.77118,0.69099,0.00362,0.000737314,0.000737314,0.000737314
171,10079.5,1.00148,0.85336,0.00315,0.85682,0.74316,0.81913,0.67709,0.76283,0.72747,0.00364,0.000731813,0.000731813,0.000731813
172,10135.5,0.97321,0.84255,0.00308,0.85401,0.73362,0.82161,0.67993,0.76588,0.71589,0.00369,0.000726312,0.000726312,0.000726312
173,10191.1,0.97934,0.84527,0.00322,0.8667,0.72967,0.81623,0.6779,0.75913,0.70599,0.00363,0.000720811,0.000720811,0.000720811
174,10246.2,0.9899,0.83787,0.00304,0.85483,0.73692,0.8163,0.67812,0.76598,0.71182,0.00365,0.00071531,0.00071531,0.00071531
175,10302.2,1.00884,0.8399,0.0032,0.86672,0.72863,0.81804,0.6743,0.79183,0.70621,0.0039,0.000709809,0.000709809,0.000709809
176,10357.8,0.96807,0.82906,0.00301,0.844,0.73965,0.81453,0.6706,0.77973,0.71678,0.00373,0.000704307,0.000704307,0.000704307
